id,age,education,default,balance,housing,loan,day,month,latestday,duration,campaign,previous,y
1,39,2,0,1756,1,0,3,4,123,939,1,0,1
2,51,1,0,1443,0,0,18,2,78,172,10,0,1
3,36,3,0,436,0,0,13,4,133,567,1,2,1
4,63,2,0,474,0,0,25,1,55,423,1,0,1
5,31,3,0,354,0,0,30,4,150,502,1,2,1
6,29,2,0,260,1,0,2,6,182,707,14,0,1
7,37,2,0,52,1,0,6,9,276,908,1,9,1
8,32,2,0,230,1,0,18,5,168,442,1,8,1
9,31,2,0,0,1,0,7,5,157,895,2,2,1
10,32,3,0,1815,0,0,10,8,250,235,1,2,1
11,35,3,0,353,0,0,12,8,252,582,1,0,1
12,34,2,0,1451,1,0,30,5,180,1097,15,0,1
13,34,3,0,625,0,1,31,8,271,34,1,0,1
14,31,3,0,883,1,0,5,3,95,112,2,1,1
15,38,1,0,5839,1,0,4,6,184,984,2,0,1
16,71,3,0,383,0,0,27,4,147,388,3,0,1
17,62,3,0,557,0,0,14,8,254,185,1,0,1
18,66,2,0,154,0,0,15,7,225,268,5,2,1
19,46,1,0,369,1,0,13,5,163,916,2,0,1
20,29,3,0,89,1,0,22,7,232,120,1,0,0
21,28,3,0,112,1,1,5,5,155,145,1,0,0
22,67,1,0,708,0,0,11,9,281,96,2,0,0
23,42,3,0,4,1,0,17,7,227,795,1,0,1
24,33,2,0,420,1,0,6,2,66,112,2,0,0
25,39,2,0,158,1,0,6,6,186,354,2,0,0
26,57,3,0,66,1,0,11,5,161,798,2,0,0
27,43,3,0,0,0,0,11,8,251,155,2,0,0
28,46,0,0,973,0,0,2,2,62,297,1,0,0
29,31,1,0,-81,1,0,22,7,232,261,1,0,0
30,36,2,0,524,1,0,8,4,128,95,1,0,0
31,33,2,0,0,1,1,9,2,69,47,2,4,0
32,52,0,0,2227,0,0,24,2,84,242,2,0,1
33,30,3,0,800,0,0,6,5,156,95,2,0,0
34,41,3,0,-4,1,0,8,5,158,72,1,1,0
35,29,2,0,-493,1,0,18,5,168,536,2,4,1
36,56,3,0,171,0,1,17,7,227,610,2,0,0
37,48,2,0,2204,1,0,12,5,162,45,1,0,0
38,30,2,0,601,0,0,27,2,87,154,1,0,0
39,60,1,0,1412,0,0,22,7,232,127,4,0,0
40,32,2,0,1337,0,0,26,5,176,368,6,0,0
41,31,2,1,0,0,0,18,1,48,129,2,0,0
42,29,3,0,54,0,0,28,1,58,873,3,0,0
43,33,3,0,1126,1,0,6,9,276,11,1,5,0
44,31,2,0,691,1,0,8,5,158,198,1,0,0
45,39,3,0,794,0,0,2,2,62,182,1,0,0
46,23,2,0,-95,1,0,14,5,164,167,3,0,0
47,51,2,0,107,0,0,19,6,199,593,1,0,0
48,39,2,0,-146,1,1,20,8,260,239,2,0,0
49,40,3,0,1041,1,0,12,6,192,73,1,0,0
50,69,2,0,813,0,0,28,9,298,237,2,0,0
51,32,2,0,2017,0,1,17,7,227,686,1,0,0
52,30,1,0,236,1,0,13,5,163,44,1,1,0
53,56,3,0,0,1,0,30,7,240,1259,6,0,0
54,32,3,0,2343,0,0,18,7,228,226,1,0,0
55,49,1,0,1830,1,0,13,8,253,261,1,1,1
56,45,3,0,2813,1,0,13,5,163,43,1,0,0
57,45,1,0,58,1,0,13,5,163,119,3,3,0
58,55,3,0,-703,1,0,8,5,158,123,3,0,0
59,77,1,0,2590,0,0,15,2,75,112,5,15,0
60,30,3,0,0,0,0,21,8,261,142,2,0,0
61,56,2,0,4073,0,0,27,8,267,239,5,0,0
62,54,3,0,500,1,0,11,8,251,56,4,0,0
63,32,2,0,5205,0,0,20,1,50,352,1,0,0
64,43,1,0,49,1,0,9,5,159,100,1,0,0
65,48,2,0,1811,1,0,31,7,241,135,3,0,0
